股票代码,股票名称,股票上市日期,股票上市地点,股票所属行业,每股收益,每股净资产,净资产收益率,总资产收益率,毛利率,净利率,营业利润率,市盈率（静）,市盈率（TTM）,市净率,市销率,股息率,营业收入增长率,净利润增长率,净资产增长率,净利润增速,资产负债率,流动比率,总资产周转率,存货周转率,应收账款周转率,每股经营现金流,现金流量比率
300722,新余国科,,深圳,,20438,4.17,1089,,-25.1807473294,-39.683215021931,48.6002310344,13603,17416,1760,404,25.154188414,0.912549911171,1738,20171110,1738,10771362201.6,276756480.0,16.079754747,4699,1844,,
300723,一品红,,深圳,,-20447,-3.99,1089,,-36.0238732798,-258.297234743448,58.2815154879,-5569,-4556,1658,256,62.525244884,1.447714583899,9533,20171116,9533,30073704360.28,451692766.0,-13.3210215059,8148,1274,,
300724,捷佳伟创,,深圳,,1065,6.19,1089,,58.952645915,22.421439171135,27.5162967776,1092,1043,265,1168,63.9139983996,20.763985753493,6455,20180810,6455,30171107857.22,347713586.0,17.2838131826,8998,4171,,
300725,药石科技,,深圳,,6636,2.18,1089,,23.4756655338,-26.540685276706,31.0462692103,4383,4977,239,909,34.3558954226,7.107335391952,1595,20171110,1595,9621895821.3,212968035.0,7.8825494127,5354,2410,,
300726,宏达电子,,深圳,,6978,1.11,1089,,6.0315749225,-29.916602737197,59.2164627426,5498,6003,324,452,10.1693403807,5.4748328082,1169,20171121,1169,15353389421.6,411839845.0,19.1782040134,4307,2050,,
300727,润禾材料,,深圳,,6066,5.37,1,,4.1582798736,38.612445269886,25.4184215407,7280,6237,556,746,25.6139192599,2.566172707228,2501,20171127,2501,7005833399.35,179867353.0,8.507278498,4364,1506,,
300729,乐歌股份,,深圳,,2011,3.54,1025,,29.5596179276,-19.471079332975,25.6858349714,1545,1703,143,287,64.5342107649,4.661375786266,-4651,20171201,-4651,5189091049.66,341612314.0,4.1024283741,1978,1070,,
300730,科创信息,,深圳,,-5217,-8.65,1,,-80.5707977693,-51.985394623205,12.87466472,-8399,-7383,1889,2401,62.6479393159,-0.134825832676,-6274,20171205,-6274,5360518791.81,241138947.0,-170.3468414297,2566,861,,
300731,科创新源,,深圳,,17564,2.91,1,,43.8996898069,520.707925475587,18.8450154885,35787,19296,1014,1280,46.9437091141,0.761307996365,5495,20171208,5495,6183779533.639999,126431804.0,3.4915409136,6150,1302,,
300732,设研院,,深圳,,-7791,-0.4,1,,10.0125686601,69.882602482075,30.0358932068,-1461,-1639,125,688,60.1121963174,3.359148362868,2750,20171212,2750,3236667372.6400003,324315368.0,-3.1545598223,1288,524,,
