股票代码,股票名称,股票上市日期,股票上市地点,股票所属行业,每股收益,每股净资产,净资产收益率,总资产收益率,毛利率,净利率,营业利润率,市盈率（静）,市盈率（TTM）,市净率,市销率,股息率,营业收入增长率,净利润增长率,净资产增长率,净利润增速,资产负债率,流动比率,总资产周转率,存货周转率,应收账款周转率,每股经营现金流,现金流量比率
000506,招金黄金,,深圳,,9998,7.81,1025,,98.265850962,181.364123223416,43.6666309029,-7013,-32146,1452,390,58.3325391439,-0.50804999839,2780,19930312,2780,8937150860.82,929017761.0,33.7884369789,1179,111,,
000507,珠海港,,深圳,,1660,1.28,1025,,-10.8870017127,36.921557159075,28.564682149,1779,1659,102,231,54.9880683543,2.632525812376,1142,19930326,1142,5196502156.75,919734895.0,12.643247203399998,652,422,,
000509,华塑控股,,深圳,,114093,0.62,1,,-17.2815736342,169.458361592381,6.1956166208,-27112,-28165,2799,147,74.7133568202,-1.12284033246,4465,19930507,4465,3777410743.04,1073128052.0,1.9314230319,428,240,,
000510,新金路,,深圳,,-2467,-2.83,1,,-10.9273369866,41.906109171667,7.5647048383,-5786,-10029,284,835,48.0764226887,0.542347149653,-3580,19930507,-3580,3618873226.62,648543589.0,-9.3876426836,715,280,,
000513,丽珠集团,,深圳,,1468,9.14,1089,,-0.166205322,9.403912135708,66.0153669543,1825,1732,275,211,38.260585778,13.331766421127,93,19931028,93,37610577888.0,904100430.0,24.7328259593,4487,3186,,
000514,渝 开 发,,深圳,,1302,5.19,1,,-22.9509405574,687.862019914106,19.7241356733,-4423,4481,132,986,42.9816497506,1.869648334368,-1519,19930712,-1519,5037312661.05,843770965.0,135.7529103609,755,303,,
000516,国际医学,,深圳,,-3739,-4.6,1089,,-15.9537340107,4.979102654476,7.7975761987,-4854,-5025,356,210,67.9179227945,-0.064759698363,-3370,19930809,-3370,12336321109.03,2238896753.0,-10.7315609755,677,407,,
000517,荣安地产,,深圳,,8364,0.33,1089,,-65.9606744424,-95.269750548527,7.9626078778,-373,-305,111,223,59.8334777526,1.092138240087,-3389,19930806,-3389,6463362644.549999,3183922485.0,0.2755901262,294,167,,
000518,*ST四环,,深圳,,-4059,-2.84,4,,-22.2649286834,-436.353288378927,64.3837062088,-2349,-2102,726,216,31.7007507482,-0.726332744177,10000,19930908,10000,2584186117.22,1029556222.0,-39.13598493,399,172,,
000519,中兵红箭,,深圳,,-37914,-0.4,1089,,17.3619535843,-191.31824690592,18.1383914304,-9432,-7482,302,460,33.9858039032,3.360387148485,91,19931008,91,30873032630.94,1392558982.0,-2.3205729218,2432,1128,,
000520,凤凰航运,,深圳,,-49915,-0.54,1,,-23.2383146667,66.991858425126,2.3913055551,-6045,-6441,1096,248,32.1577352452,-2.731676591591,982,19931025,982,4999692267.700001,1012083455.0,-1.5201070284,755,200,,
000521,长虹美菱,,深圳,,984,6.63,1089,,20.8041432661,0.263980836195,10.443431004,1174,1172,133,396,76.2082170017,1.825882516347,-3304,19931018,-3304,8208492008.55,1029923715.0,2.3763514261,1165,605,,
000523,红棉股份,,深圳,,13123,0.61,1025,,-10.1430362827,-46.098467600573,12.6578821088,1199,1222,325,190,39.2555326892,-1.488475188913,-2367,19931108,-2367,6148819344.35,1835468461.0,4.0601792114,387,235,,
000524,岭南控股,,深圳,,8383,1.17,1089,,1.232874656,8.878432139014,20.0540414917,5937,5852,398,298,34.5945437498,0.118643849894,-4359,19931118,-4359,8913774340.1,670208597.0,2.8545290996,1668,798,,
000525,红太阳,,深圳,,7741,2.25,1025,,0.2406006095,45.739109954823,22.8231862071,2335,2281,313,268,58.19276831,-1.346742804364,927,19931028,927,9060230840.18,1298027341.0,2.8172432319,993,542,,
000526,学大教育,,深圳,,2136,8.55,1025,,22.456842344,47.003859257286,32.0173971542,3508,3101,739,252,79.9971693376,-1.111080108585,-1833,19931101,-1833,6303875168.57,121861109.0,8.5060103512,6930,4025,,
