股票代码,股票名称,peTTM,pctChg
sh.600665,天地源,-2.901071,-1.1765
sh.600666,奥瑞德,-61.281117,-1.3587
sh.600667,太极实业,22.437981,-1.037
sh.600668,尖峰集团,7.491626,1.546
sh.600671,天目药业,57.318826,-0.5622
sh.600673,东阳光,78.29747,-2.7647
sh.600674,川投能源,16.484866,0.8861
sh.600675,中华企业,51.065325,-0.9836
sh.600676,交运股份,-14.511405,-4.34
sh.600678,四川金顶,558.691226,-2.7551
sh.600679,上海凤凰,-48.393003,-1.0015
sh.600681,百川能源,14.781321,0.0
sh.600682,南京新百,43.768396,0.1346
sh.600683,京投发展,-2.764807,-0.4728
sh.600684,珠江股份,178.264231,10.0446
sh.600685,中船防务,72.647672,-0.4255
sh.600686,金龙汽车,47.740466,-1.1129
sh.600688,上海石化,216.618999,0.0
sh.600689,上海三毛,147.970142,1.5335
sh.600690,海尔智家,12.333554,0.669
sh.600691,阳煤化工,-7.584864,-0.3984
sh.600692,亚通股份,-661.869285,3.5669
sh.600693,东百集团,113.408692,0.8518
sh.600694,大商股份,11.827724,1.1634
sh.600696,*ST岩石,-8.615289,-2.2727
sh.600697,欧亚集团,-52.830533,0.3994
sh.600698,湖南天雁,2657.201629,-2.6858
sh.600699,均胜电子,25.399806,-2.1288
sh.600702,舍得酒业,124.675477,-0.7491
sh.600703,三安光电,183.115025,-0.936
sh.600704,物产中大,8.871389,0.1805
sh.600706,曲江文旅,-15.28506,0.7597
sh.600707,彩虹股份,17.543376,-0.7899
sh.600708,光明地产,-7.051538,-0.813
sh.600710,苏美达,11.308017,-0.5634
sh.600711,盛屯矿业,12.503015,-0.8838
sh.600712,南宁百货,-94.027623,3.7147
sh.600713,南京医药,11.802135,0.1887
sh.600714,金瑞矿业,72.15369,-1.2285
sh.600715,文投控股,-11.984001,2.1186
sh.600716,凤凰股份,-22.226905,-0.7692
sh.600717,天津港,14.210672,0.2119
sh.600718,东软集团,255.250272,-1.3078
sh.600719,大连热电,-23.742437,0.3067
sh.600720,中交设计,10.746748,-0.4848
sh.600721,百花医药,78.456694,2.1687
sh.600722,金牛化工,76.780177,-0.3306
sh.600724,宁波富达,33.871711,-0.4246
sh.600725,云维股份,-61.210336,-0.304
sh.600726,华电能源,93.371359,0.7752
sh.600727,鲁北化工,17.823769,5.7252
sh.600728,佳都科技,64.548203,-1.2132
sh.600729,重庆百货,9.49517,1.3315
sh.600730,中国高科,111.685715,6.7688
sh.600731,湖南海利,13.91869,-2.8714
sh.600732,爱旭股份,-4.922014,-0.534
sh.600733,北汽蓝谷,-6.588955,-0.9732
sh.600734,实达集团,-22306.443777,-1.937
sh.600735,新华锦,-25.757324,-0.6135
sh.600736,苏州高新,38.364215,-0.7181
sh.600737,中粮糖业,14.662712,0.3027
sh.600738,丽尚国潮,60.836328,1.3133
sh.600739,辽宁成大,39.463695,-0.8197
sh.600740,山西焦化,81.280292,-0.9828
sh.600741,华域汽车,8.542863,-0.2199
sh.600742,富维股份,15.000403,-2.0774
sh.600743,华远控股,-3.950863,-1.3636
sh.600744,华银电力,-317.554286,-4.2524
sh.600745,闻泰科技,-17.213148,-1.2362
sh.600746,江苏索普,39.675544,0.2418
sh.600748,上实发展,-28.669702,-0.8523
sh.600749,西藏旅游,212.669998,9.9957
sh.600750,江中药业,17.594728,1.1348
sh.600751,海航科技,100.307211,-0.2577
sh.600753,*ST海钦,-7.200943,0.4425
sh.600754,锦江酒店,32.241492,0.1313
sh.600755,厦门国贸,21.776518,-0.156
sh.600756,浪潮软件,-104.589296,-1.6469
sh.600757,长江传媒,10.767355,0.733
sh.600758,辽宁能源,24.900448,0.4988
sh.600759,洲际油气,23.555887,1.6529
sh.600760,中航沈飞,58.682651,-2.7215
sh.600761,安徽合力,13.048557,0.0
sh.600763,通策医疗,40.615765,-0.2787
sh.600764,中国海防,99.367271,0.5349
sh.600765,中航重机,53.301661,-1.082
sh.600768,宁波富邦,279.763768,-0.3208
sh.600769,祥龙电业,295.725713,-0.1896
sh.600770,综艺股份,107.284406,-0.3656
sh.600771,广誉远,110.362743,1.3005
sh.600773,西藏城投,382.741117,-1.9469
sh.600774,汉商集团,-124.046853,-4.5412
sh.600775,南京熊猫,-54.662099,0.4713
sh.600776,东方通信,-343.168355,-1.5111
sh.600777,*ST新潮,14.795379,5.036
sh.600778,友好集团,204.474576,1.0511
sh.600779,水井坊,15.324348,-0.7279
sh.600780,通宝能源,12.770473,-0.1637
sh.600782,新钢股份,72.068674,-1.2987
sh.600783,鲁信创投,34.348469,-1.0895
sh.600784,鲁银投资,14.661161,-0.3058
sh.600785,新华百货,20.805821,0.9877
sh.600787,中储股份,67.110268,-0.6656
sh.600789,鲁抗医药,23.446108,-1.3048
sh.600790,轻纺城,49.287531,0.7833
sh.600791,京能置业,-14.479599,-0.7828
sh.600792,云煤能源,-6.896102,-0.5076
sh.600793,宜宾纸业,-37.284,-0.4315
sh.600794,保税科技,32.573679,-0.8772
sh.600795,国电电力,8.504387,1.9523
sh.600796,钱江生化,32.417135,-0.165
sh.600797,浙大网新,-150.414177,-2.1898
sh.600798,宁波海运,18857.580408,-0.2445
sh.600800,渤海化学,-7.119488,-1.9608
sh.600801,华新水泥,13.343061,-4.1088
